image,condition,replicate,cell_id,pair,pearson_r,manders_m1,manders_m2
MAX_25deg_rep1.tif,25deg,1,48,Tif6_vs_Sis1,0.8152094393997146,0.5514217457172824,0.4920010490427485
MAX_25deg_rep1.tif,25deg,1,49,Tif6_vs_Sis1,0.9665324072093499,0.7089706658011117,1.0
MAX_25deg_rep1.tif,25deg,1,50,Tif6_vs_Sis1,0.8640873034503466,0.6057831439618568,0.5893249273925055
MAX_25deg_rep1.tif,25deg,1,51,Tif6_vs_Sis1,0.9280894032495637,1.0,0.5212594415683612
MAX_25deg_rep1.tif,25deg,1,52,Tif6_vs_Sis1,0.7354011359186512,0.6646761076039356,0.2888577304169004
MAX_25deg_rep1.tif,25deg,1,53,Tif6_vs_Sis1,0.9217532092824682,0.9723339952619844,0.8898200997037786
MAX_25deg_rep1.tif,25deg,1,54,Tif6_vs_Sis1,0.8593092989566778,,
MAX_25deg_rep1.tif,25deg,1,55,Tif6_vs_Sis1,0.9554472194286884,0.6829208427081203,1.0
MAX_25deg_rep1.tif,25deg,1,56,Tif6_vs_Sis1,0.8805673717942228,1.0,0.009084893435165017
MAX_25deg_rep1.tif,25deg,1,57,Tif6_vs_Sis1,0.7734033635840603,0.9797909638155718,0.5332313618853388
MAX_25deg_rep1.tif,25deg,1,1,Tif6_vs_Nsr1,0.8778462196623152,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,2,Tif6_vs_Nsr1,0.7041583599757845,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,3,Tif6_vs_Nsr1,0.8395622154003816,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,4,Tif6_vs_Nsr1,0.8203476880791998,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,5,Tif6_vs_Nsr1,0.9247646519131568,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,6,Tif6_vs_Nsr1,0.8653740932359814,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,7,Tif6_vs_Nsr1,0.8978890166248202,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,8,Tif6_vs_Nsr1,0.8557784153455329,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,9,Tif6_vs_Nsr1,0.5224185269147378,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,10,Tif6_vs_Nsr1,0.8316379474300778,0.9993589413374087,1.0
MAX_25deg_rep1.tif,25deg,1,11,Tif6_vs_Nsr1,0.9433128238048464,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,12,Tif6_vs_Nsr1,0.9249940573129061,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,13,Tif6_vs_Nsr1,0.9017735353343899,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,15,Tif6_vs_Nsr1,0.8657008161790712,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,16,Tif6_vs_Nsr1,0.7995837949039993,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,17,Tif6_vs_Nsr1,0.8137193866746133,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,18,Tif6_vs_Nsr1,0.7971886118543698,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,19,Tif6_vs_Nsr1,0.8141584796807381,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,20,Tif6_vs_Nsr1,0.9358740100784594,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,21,Tif6_vs_Nsr1,0.9026932299715432,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,22,Tif6_vs_Nsr1,0.9257350141398804,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,23,Tif6_vs_Nsr1,0.8779235073600439,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,24,Tif6_vs_Nsr1,0.9372006541461417,0.9996462918580045,1.0
MAX_25deg_rep1.tif,25deg,1,25,Tif6_vs_Nsr1,0.842260506325648,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,26,Tif6_vs_Nsr1,0.8773592062834988,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,27,Tif6_vs_Nsr1,0.9150975362020903,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,28,Tif6_vs_Nsr1,0.8851833966881307,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,29,Tif6_vs_Nsr1,0.8640806913373851,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,30,Tif6_vs_Nsr1,0.8510009173771512,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,31,Tif6_vs_Nsr1,0.8726899950489037,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,32,Tif6_vs_Nsr1,0.9283937449625659,0.9992335730645492,1.0
MAX_25deg_rep1.tif,25deg,1,33,Tif6_vs_Nsr1,0.8511627699454297,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,34,Tif6_vs_Nsr1,0.9185687918938196,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,35,Tif6_vs_Nsr1,0.8472435715720368,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,36,Tif6_vs_Nsr1,0.894061298688365,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,37,Tif6_vs_Nsr1,0.9409753996000607,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,38,Tif6_vs_Nsr1,0.9138598785796871,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,39,Tif6_vs_Nsr1,0.6689877630007511,0.990745660216965,1.0
MAX_25deg_rep1.tif,25deg,1,40,Tif6_vs_Nsr1,0.7534112569967514,0.9959135932248561,1.0
MAX_25deg_rep1.tif,25deg,1,41,Tif6_vs_Nsr1,0.8796600754718413,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,42,Tif6_vs_Nsr1,0.9351576327880595,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,43,Tif6_vs_Nsr1,0.8738305351406724,0.9990853758125456,1.0
MAX_25deg_rep1.tif,25deg,1,44,Tif6_vs_Nsr1,0.8054442141282402,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,45,Tif6_vs_Nsr1,0.8543319942874896,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,46,Tif6_vs_Nsr1,0.9051796701191338,1.0,1.0
