image,condition,replicate,cell_id,n_nuclei,cell_area_px,nucleus_area_px,cytosol_area_px,Tif6_cell_mean,Tif6_nucleus_mean,Tif6_cytosol_mean,Nsr1_cell_mean,Nsr1_nucleus_mean,Nsr1_cytosol_mean,Sis1_cell_mean,Sis1_nucleus_mean,Sis1_cytosol_mean,Sis1_puncta_n,Sis1_puncta_area_px,Sis1_puncta_mean_intensity,Sis1_diffuse_mean_intensity,Sis1_frac_intensity_in_puncta,Sis1_puncta_integrated_intensity,Sis1_fragmentation_index_simple,Sis1_fragmentation_index_persistence,Tif6_puncta_n,Tif6_puncta_area_px,Tif6_puncta_mean_intensity,Tif6_diffuse_mean_intensity,Tif6_frac_intensity_in_puncta,Tif6_puncta_integrated_intensity,Tif6_fragmentation_index_simple,Tif6_fragmentation_index_persistence,keep,pearson_r_Tif6_vs_Sis1,manders_m1_Tif6_vs_Sis1,manders_m2_Tif6_vs_Sis1,pearson_r_Tif6_vs_Nsr1,manders_m1_Tif6_vs_Nsr1,manders_m2_Tif6_vs_Nsr1,pearson_r_Sis1_vs_Nsr1,manders_m1_Sis1_vs_Nsr1,manders_m2_Sis1_vs_Nsr1,Sis1_mean_distance,Sis1_fraction_proximal,Tif6_mean_distance,Tif6_fraction_proximal,nucleolar_area,nucleolar_solidity,nucleolar_circularity,nucleolar_eccentricity,n_nucleoli
MAX_25deg_rep1.tif,25deg,1,11,0,752,0,752,315.1396179199219,,315.1396179199219,211.6170196533203,,211.6170196533203,372.28192138671875,,372.28192138671875,0,0,,372.28192138671875,0.0,0.0,1,0.3851851851851852,0,0,,315.1396179199219,0.0,0.0,1,0.5555555555555556,True,0.898706408123741,1.0,0.34777573514524734,0.9431548565472757,1.0,1.0,0.8945328159467854,0.8711845750243079,0.9970607138938095,,,,,92,0.92,0.8888087103316687,0.5481884512073958,1
MAX_25deg_rep1.tif,25deg,1,12,0,746,0,746,397.24261474609375,,397.24261474609375,222.00669860839844,,222.00669860839844,285.3002624511719,,285.3002624511719,1,6,197.5,286.0121765136719,0.005567719443322025,1185.0,1,0.5987654320987653,1,6,242.1666717529297,398.5,0.0049031021485238385,1453.0,2,0.30718954248366004,True,0.7238742191608979,0.7305611165131842,0.6283777789606289,0.9249940573129061,1.0,1.0,0.7472354539452697,0.9473331902586586,0.9747875864554313,10.0,0.0,12.0,0.0,72,0.9473684210526315,0.9455964461411965,0.21014818308123182,1
MAX_25deg_rep1.tif,25deg,1,13,0,1002,0,1002,377.7195739746094,,377.7195739746094,216.5149688720703,,216.5149688720703,321.6696472167969,,321.6696472167969,1,15,484.6666564941406,319.1925048828125,0.022555714476300986,7270.0,5,0.4841269841269841,0,0,,377.7195739746094,0.0,0.0,2,0.3833333333333333,True,0.8999033114973233,0.9260433216403706,0.79759020507052,0.9016694796567695,1.0,1.0,0.8155885176203694,0.8969584564996712,0.9928175308243149,0.0,1.0,,,106,0.905982905982906,0.7760895397263605,0.34572012455701356,1
MAX_25deg_rep1.tif,25deg,1,15,0,1268,0,1268,497.1112060546875,,497.1112060546875,217.1924285888672,,217.1924285888672,333.2539367675781,,333.2539367675781,1,3,211.3333282470703,333.5430908203125,0.0015003573406284461,634.0,2,0.5034722222222222,1,4,230.75,497.9541015625,0.0014642960828889942,923.0,2,0.5202020202020201,True,0.8829707143937402,0.9223200833968755,0.9060925596708875,0.8655951667677239,1.0,1.0,0.6932984733101345,0.9328906370469726,0.9913834941473566,11.313708498984761,0.0,15.556349186104045,0.0,93,0.9207920792079208,0.8352163591992535,0.7236621065853996,1
MAX_25deg_rep1.tif,25deg,1,16,0,841,0,841,371.1343688964844,,371.1343688964844,197.98097229003906,,197.98097229003906,272.34600830078125,,272.34600830078125,0,0,,272.34600830078125,0.0,0.0,1,0.5308641975308643,0,0,,371.1343688964844,0.0,0.0,2,0.6111111111111112,True,0.9373281612731492,0.8627649452395895,0.9291411882814639,0.7995837949039993,1.0,1.0,0.7048715735864376,0.8358877634404516,0.981530599042567,,,,,82,0.9010989010989011,0.7364273274660085,0.833847972660175,1
MAX_25deg_rep1.tif,25deg,1,17,0,814,0,814,438.73956298828125,,438.73956298828125,212.43980407714844,,212.43980407714844,362.6486511230469,,362.6486511230469,4,27,213.9629669189453,367.74969482421875,0.019570048374639222,5777.0,4,0.5982905982905983,0,0,,438.73956298828125,0.0,0.0,1,0.3777777777777778,True,0.8611660766752317,0.9819493555378123,0.658954676253061,0.8140550475521748,1.0,1.0,0.7303565314911585,0.8679875463835426,1.0,12.953564454679574,0.0,,,73,0.9240506329113924,0.911837813072569,0.5626679114361419,1
MAX_25deg_rep1.tif,25deg,1,18,0,666,0,666,427.9084167480469,,427.9084167480469,220.99549865722656,,220.99549865722656,302.6156005859375,,302.6156005859375,1,6,439.1666564941406,301.3742370605469,0.013074197933929404,2635.0,2,0.5555555555555557,0,0,,427.9084167480469,0.0,0.0,1,0.4532163742690061,True,0.7960303672202913,0.8096815957516842,0.4251573426573427,0.7971892551666621,1.0,1.0,0.667410537931918,0.9423066811092766,0.9896151401956074,0.0,1.0,,,39,0.9512195121951219,0.8577234287223816,0.696861487760132,1
MAX_25deg_rep1.tif,25deg,1,19,0,768,0,768,351.0729064941406,,351.0729064941406,203.4622344970703,,203.4622344970703,349.83984375,,349.83984375,1,3,224.0,350.3333435058594,0.0025011444969238157,672.0,7,0.7654320987654321,0,0,,351.0729064941406,0.0,0.0,1,0.5769230769230768,True,0.8795071865142674,1.0,0.15582295205738014,0.8142283495504213,1.0,1.0,0.8422546522790448,0.7768140949959131,1.0,9.433981132056603,0.0,,,142,0.9044585987261147,0.7358755176707353,0.7491901980243859,1
MAX_25deg_rep1.tif,25deg,1,20,0,621,0,621,411.88726806640625,,411.88726806640625,205.80516052246094,,205.80516052246094,227.78582763671875,,227.78582763671875,0,0,,227.78582763671875,0.0,0.0,1,0.7888888888888889,0,0,,411.88726806640625,0.0,0.0,1,0.5462962962962962,True,0.8595715186962545,0.07134168318615967,1.0,0.9359770376835894,1.0,1.0,0.7409219216533464,0.9045938940092166,0.6674526315789474,,,,,63,0.9402985074626866,0.9040710977868962,0.7671341451225817,1
MAX_25deg_rep1.tif,25deg,1,21,0,954,0,954,454.103759765625,,454.103759765625,208.37420654296875,,208.37420654296875,289.2201232910156,,289.2201232910156,0,0,,289.2201232910156,0.0,0.0,1,0.3888888888888889,0,0,,454.103759765625,0.0,0.0,1,0.2847222222222222,True,0.866447057105721,0.8625361824300473,0.9448191293684856,0.9024712143296075,1.0,1.0,0.7193461543343325,0.9164833117964121,0.9704866971037407,,,,,79,0.8977272727272727,0.8232907339580547,0.8155104122831084,1
MAX_25deg_rep1.tif,25deg,1,22,0,518,0,518,540.7876586914062,,540.7876586914062,247.7818603515625,,247.7818603515625,366.5019226074219,,366.5019226074219,0,0,,366.5019226074219,0.0,0.0,1,0.7555555555555556,0,0,,540.7876586914062,0.0,0.0,1,0.5972222222222222,True,0.9038441495508268,0.8775001585389054,0.9209845974583986,0.9257350141398804,1.0,1.0,0.815484093270222,0.9786152834997836,0.992316224991296,,,,,117,0.9285714285714286,0.8662199919179734,0.477096447648667,1
MAX_25deg_rep1.tif,25deg,1,23,0,1076,0,1076,399.6988830566406,,399.6988830566406,249.97955322265625,,249.97955322265625,372.2769470214844,,372.2769470214844,0,0,,372.2769470214844,0.0,0.0,3,0.5873015873015873,1,8,221.125,401.0365295410156,0.004113226499502414,1769.0,1,0.303921568627451,True,0.9041596540410224,1.0,0.7086271729359482,0.8778590124699132,1.0,1.0,0.6916789155994437,0.9738777255237281,0.995571776530801,,,17.11724276862369,0.0,69,0.9857142857142858,0.9540280939439033,0.7915953080972767,1
MAX_25deg_rep1.tif,25deg,1,24,0,1240,0,1240,396.66693115234375,,396.66693115234375,205.64999389648438,,205.64999389648438,236.18789672851562,,236.18789672851562,0,0,,236.18789672851562,0.0,0.0,1,0.711111111111111,2,20,729.6500244140625,391.20819091796875,0.029668589273116514,14593.0,2,0.5777777777777777,True,0.87017092721692,0.524759529747061,0.9260529344073648,0.9371545859696082,0.999646245834748,1.0,0.8033969897316265,0.9012470052827314,0.8277819982555359,,,6.041522986797286,0.5,109,0.956140350877193,0.9015986564870705,0.5396891406864032,1
MAX_25deg_rep1.tif,25deg,1,25,0,888,0,888,523.9774780273438,,523.9774780273438,212.15765380859375,,212.15765380859375,243.4166717529297,,243.4166717529297,0,0,,243.4166717529297,0.0,0.0,2,0.44771241830065367,1,3,1667.6666259765625,520.1005859375,0.01075238774790884,5003.0,2,0.5158730158730159,True,0.7964586938359886,0.20285949910254772,0.9497994269340975,0.842260506325648,1.0,1.0,0.7311066067559885,0.9312795601071534,0.7160740170183344,,,0.0,1.0,101,0.7890625,0.5354129780423171,0.8598020071418235,1
