image,condition,replicate,cell_id,channel,n_puncta,mean_distance,min_distance,fraction_proximal
MAX_25deg_rep1.tif,25deg,1,27,Tif6,0,,,
MAX_25deg_rep1.tif,25deg,1,28,Tif6,0,,,
MAX_25deg_rep1.tif,25deg,1,29,Tif6,0,,,
MAX_25deg_rep1.tif,25deg,1,30,Tif6,0,,,
MAX_25deg_rep1.tif,25deg,1,31,Tif6,0,,,
MAX_25deg_rep1.tif,25deg,1,32,Tif6,0,,,
MAX_25deg_rep1.tif,25deg,1,33,Tif6,0,,,
MAX_25deg_rep1.tif,25deg,1,34,Tif6,1,12.083045973594572,12.083045973594572,0.0
MAX_25deg_rep1.tif,25deg,1,35,Tif6,0,,,
MAX_25deg_rep1.tif,25deg,1,36,Tif6,0,,,
MAX_25deg_rep1.tif,25deg,1,37,Tif6,0,,,
MAX_25deg_rep1.tif,25deg,1,38,Tif6,0,,,
MAX_25deg_rep1.tif,25deg,1,39,Tif6,0,,,
MAX_25deg_rep1.tif,25deg,1,40,Tif6,0,,,
MAX_25deg_rep1.tif,25deg,1,41,Tif6,1,1.4142135623730951,1.4142135623730951,1.0
MAX_25deg_rep1.tif,25deg,1,42,Tif6,0,,,
MAX_25deg_rep1.tif,25deg,1,43,Tif6,0,,,
MAX_25deg_rep1.tif,25deg,1,44,Tif6,1,2.8284271247461903,2.8284271247461903,1.0
MAX_25deg_rep1.tif,25deg,1,45,Tif6,1,0.0,0.0,1.0
MAX_25deg_rep1.tif,25deg,1,46,Tif6,0,,,
MAX_25deg_rep1.tif,25deg,1,47,Tif6,1,0.0,0.0,1.0
MAX_25deg_rep1.tif,25deg,1,48,Tif6,2,19.75052561445697,19.1049731745428,0.0
MAX_25deg_rep1.tif,25deg,1,49,Tif6,0,,,
MAX_25deg_rep1.tif,25deg,1,50,Tif6,0,,,
MAX_25deg_rep1.tif,25deg,1,51,Tif6,0,,,
MAX_25deg_rep1.tif,25deg,1,52,Tif6,1,13.92838827718412,13.92838827718412,0.0
