image,condition,replicate,n_cells,n_keep,median_G3BP1_puncta_n,median_G3BP1_frac_intensity_in_puncta,median_PABPC1_puncta_n,median_PABPC1_frac_intensity_in_puncta
MAX_arsenite_rep1.tif,arsenite,1,11,11,4.0,0.005303411427092154,4.0,0.02242725209682724
MAX_control_rep1.tif,control,1,13,12,2.0,0.0004933494222951538,1.0,0.00029425410395885273
