image,condition,replicate,cell_id,n_nuclei,cell_area_px,nucleus_area_px,cytosol_area_px,DAPI_cell_mean,DAPI_nucleus_mean,DAPI_cytosol_mean,G3BP1_cell_mean,G3BP1_nucleus_mean,G3BP1_cytosol_mean,PABPC1_cell_mean,PABPC1_nucleus_mean,PABPC1_cytosol_mean,G3BP1_puncta_n,G3BP1_puncta_area_px,G3BP1_puncta_mean_intensity,G3BP1_diffuse_mean_intensity,G3BP1_frac_intensity_in_puncta,G3BP1_puncta_integrated_intensity,G3BP1_fragmentation_index_simple,G3BP1_fragmentation_index_persistence,PABPC1_puncta_n,PABPC1_puncta_area_px,PABPC1_puncta_mean_intensity,PABPC1_diffuse_mean_intensity,PABPC1_frac_intensity_in_puncta,PABPC1_puncta_integrated_intensity,PABPC1_fragmentation_index_simple,PABPC1_fragmentation_index_persistence,keep
MAX_arsenite_rep1.tif,arsenite,1,1,1,13401,7704,5268,608.6849365234375,784.3987426757812,375.0597839355469,1251.4901123046875,1017.592041015625,1575.64697265625,1533.401123046875,1247.837890625,1959.3974609375,2,12,1307.3333740234375,1576.259521484375,0.001890004804525217,15688.0,11,0.5353535353535354,3,43,3419.837158203125,1947.3785400390625,0.014246414442944104,147053.0,4,0.39336917562724016,True
MAX_arsenite_rep1.tif,arsenite,1,2,1,28611,11493,15841,561.7368774414062,846.1947021484375,358.2535705566406,873.810791015625,685.8078002929688,1006.37060546875,1280.0709228515625,994.3867797851562,1480.451904296875,6,43,1059.6279296875,1006.2256469726562,0.002858125531578166,45564.0,10,0.4662393162393162,5,281,3880.220703125,1437.1141357421875,0.046492816469225144,1090342.0,17,0.25712881022615536,True
MAX_arsenite_rep1.tif,arsenite,1,3,1,5049,2583,2346,470.59259033203125,614.2160034179688,342.5102233886719,794.0988159179688,711.3883056640625,856.7821655273438,1053.82373046875,1089.4173583984375,1000.4838256835938,3,1010,863.946533203125,851.3660278320312,0.43412001227853975,872586.0,11,0.6831831831831832,1,7,971.8571166992188,1000.5694580078125,0.002898427231497123,6803.0,8,0.4888888888888888,True
MAX_arsenite_rep1.tif,arsenite,1,4,1,22449,12942,8138,583.3400268554688,741.0888671875,353.146728515625,1020.4724731445312,852.140869140625,1263.84228515625,1475.4095458984375,1326.1337890625,1689.7457275390625,9,67,965.0,1266.3231201171875,0.006286248259505039,64655.0,26,0.5253333333333333,3,184,3985.9130859375,1636.6285400390625,0.053334299070674156,733408.0,11,0.2988351254480286,True
MAX_arsenite_rep1.tif,arsenite,1,5,1,32184,13578,17214,393.8014831542969,529.5617065429688,287.87457275390625,916.1368408203125,807.6365966796875,997.8283081054688,1178.4617919921875,1073.65869140625,1263.5313720703125,8,80,1482.737548828125,995.5642700195312,0.006905842221774068,118619.0,17,0.48946986201888165,7,289,3755.654052734375,1220.9775390625,0.04990173066939189,1085384.0,10,0.18627450980392157,True
MAX_arsenite_rep1.tif,arsenite,1,6,1,47319,14796,31103,310.94989013671875,433.1521911621094,251.66732788085938,1052.75341796875,813.3553466796875,1165.67431640625,1415.2803955078125,1089.7781982421875,1572.5615234375,4,156,3438.416748046875,1154.2176513671875,0.014794612572473586,536393.0,14,0.4257478632478633,7,571,4029.93701171875,1526.6043701171875,0.04704618843303951,2301094.0,26,0.23499361430395918,True
MAX_arsenite_rep1.tif,arsenite,1,7,1,44410,17032,25803,443.4756164550781,626.072021484375,322.4859619140625,1213.373779296875,1029.07666015625,1320.353759765625,1594.9593505859375,1386.69482421875,1714.779541015625,6,178,2717.1123046875,1310.6514892578125,0.014196036007773381,483646.0,14,0.4130864197530864,4,397,4095.0,1677.5858154296875,0.036742264736411887,1625715.0,7,0.25219638242894055,True
MAX_arsenite_rep1.tif,arsenite,1,8,2,22266,12522,8125,445.7377624511719,545.69140625,305.43988037109375,953.7982788085938,831.202392578125,1118.0579833984375,1106.274658203125,997.1748046875,1231.26806640625,5,42,787.047607421875,1119.7779541015625,0.0036388370560337534,33056.0,14,0.571625344352617,4,40,2390.85009765625,1225.5311279296875,0.009559525524305,95634.0,2,0.23456790123456792,True
MAX_arsenite_rep1.tif,arsenite,1,9,1,6795,1557,5092,289.670654296875,470.0301818847656,239.70680236816406,805.005615234375,713.9710693359375,817.0347900390625,712.7876586914062,717.3506469726562,687.5043334960938,4,30,735.4666748046875,817.5181884765625,0.005303411427092154,22064.0,13,0.45888888888888896,0,0,,687.5043334960938,0.0,0.0,1,0.2037037037037036,True
MAX_arsenite_rep1.tif,arsenite,1,10,1,31908,14013,16783,440.4752197265625,637.7398681640625,278.5552673339844,758.9117431640625,580.3289794921875,906.7210693359375,949.5538330078125,728.06396484375,1134.8907470703125,4,45,1521.977783203125,905.0669555664062,0.004500673566617382,68489.0,10,0.5048449612403101,5,120,3559.74169921875,1117.4281005859375,0.02242725209682724,427169.0,5,0.20901320901320902,True
MAX_arsenite_rep1.tif,arsenite,1,11,1,26907,9522,16547,417.1294860839844,645.37353515625,286.3406066894531,597.5822143554688,472.6058654785156,666.0551147460938,702.431396484375,562.3673706054688,779.4928588867188,2,13,842.1538696289062,665.9166870117188,0.0009933569931588298,10948.0,4,0.3832582582582583,3,37,2474.648681640625,775.6939086914062,0.007098782565225037,91562.0,3,0.21180555555555552,True
